"ID 57"," Product Name"," Product Condition"," Product State","1004,87"
"ID 93"," Product Name"," Product Condition"," Product State","1224,47"
"ID 119"," Product Name"," Product Condition"," Product State","1412,16"
"ID 48"," Product Name"," Product Condition"," Product State","146,39"
"ID 116"," Product Name"," Product Condition"," Product State","1786,66"
"ID 72"," Product Name"," Product Condition"," Product State","2120,98"
"ID 55"," Product Name"," Product Condition"," Product State","2145,22"
"ID 86"," Product Name"," Product Condition"," Product State","2472,01"
"ID 36"," Product Name"," Product Condition"," Product State","3122,97"
"ID 99"," Product Name"," Product Condition"," Product State","3133,23"
"ID 35"," Product Name"," Product Condition"," Product State","3603,17"
"ID 82"," Product Name"," Product Condition"," Product State","4099,29"
"ID 99"," Product Name"," Product Condition"," Product State","4443,68"
"ID 92"," Product Name"," Product Condition"," Product State","4526,83"
"ID 99"," Product Name"," Product Condition"," Product State","5280,45"
"ID 76"," Product Name"," Product Condition"," Product State","5304,10"
"ID 126"," Product Name"," Product Condition"," Product State","5401,30"
"ID 105"," Product Name"," Product Condition"," Product State","5585,12"
"ID 88"," Product Name"," Product Condition"," Product State","5630,76"
"ID 120"," Product Name"," Product Condition"," Product State","5737,28"
"ID 74"," Product Name"," Product Condition"," Product State","6080,84"
"ID 118"," Product Name"," Product Condition"," Product State","6388,88"
"ID 110"," Product Name"," Product Condition"," Product State","6405,36"
"ID 127"," Product Name"," Product Condition"," Product State","6606,09"
"ID 34"," Product Name"," Product Condition"," Product State","8458,02"
"ID 54"," Product Name"," Product Condition"," Product State","904,12"
"ID 87"," Product Name"," Product Condition"," Product State","9244,74"
"ID 97"," Product Name"," Product Condition"," Product State","9399,52"
"ID 108"," Product Name"," Product Condition"," Product State","9687,35"
"ID 102"," Product Name"," Product Condition"," Product State","9875,06"
